Three-Digit ZIP Code,Year,Quarter,Index (NSA),Index Type
010,2023,1,300.55,Native 3-Digit ZIP index
010,2023,2,301,Native 3-Digit ZIP index
010,2023,3,314.58,Native 3-Digit ZIP index
010,2023,4,312.13,Native 3-Digit ZIP index
011,2023,1,322.36,Native 3-Digit ZIP index
011,2023,2,330.65,Native 3-Digit ZIP index
011,2023,3,338.62,Native 3-Digit ZIP index
011,2023,4,357.54,Native 3-Digit ZIP index
012,2023,1,321.3,Native 3-Digit ZIP index
012,2023,2,325.68,Native 3-Digit ZIP index
012,2023,3,373.51,Native 3-Digit ZIP index
012,2023,4,354.5,Native 3-Digit ZIP index
013,2023,1,302.08,MSA/MSAD Index
013,2023,2,305.06,MSA/MSAD Index
013,2023,3,318.71,MSA/MSAD Index
013,2023,4,322.68,MSA/MSAD Index
014,2023,1,357.47,Native 3-Digit ZIP index
014,2023,2,381.65,Native 3-Digit ZIP index
014,2023,3,382.75,Native 3-Digit ZIP index
014,2023,4,378.06,Native 3-Digit ZIP index
015,2023,1,341.13,Native 3-Digit ZIP index
015,2023,2,356.12,Native 3-Digit ZIP index
015,2023,3,362.97,Native 3-Digit ZIP index
015,2023,4,359.53,Native 3-Digit ZIP index
016,2023,1,391.08,Native 3-Digit ZIP index
016,2023,2,410.79,Native 3-Digit ZIP index
016,2023,3,419.37,Native 3-Digit ZIP index
016,2023,4,418.81,Native 3-Digit ZIP index
017,2023,1,357.71,Native 3-Digit ZIP index
017,2023,2,377.46,Native 3-Digit ZIP index
017,2023,3,388.18,Native 3-Digit ZIP index
017,2023,4,385.69,Native 3-Digit ZIP index
018,2023,1,409.58,Native 3-Digit ZIP index
018,2023,2,416.29,Native 3-Digit ZIP index
018,2023,3,428.02,Native 3-Digit ZIP index
018,2023,4,428.67,Native 3-Digit ZIP index
019,2023,1,400.79,Native 3-Digit ZIP index
019,2023,2,423.65,Native 3-Digit ZIP index
019,2023,3,432.29,Native 3-Digit ZIP index
019,2023,4,432.56,Native 3-Digit ZIP index
020,2023,1,375.58,Native 3-Digit ZIP index
020,2023,2,394.83,Native 3-Digit ZIP index
020,2023,3,409.03,Native 3-Digit ZIP index
020,2023,4,411.45,Native 3-Digit ZIP index
021,2023,1,491.37,Native 3-Digit ZIP index
021,2023,2,523.55,Native 3-Digit ZIP index
021,2023,3,530.99,Native 3-Digit ZIP index
021,2023,4,523.91,Native 3-Digit ZIP index
022,2023,1,420.29,MSA/MSAD Index
022,2023,2,436.14,MSA/MSAD Index
022,2023,3,447.84,MSA/MSAD Index
022,2023,4,452.75,MSA/MSAD Index
023,2023,1,409.97,Native 3-Digit ZIP index
023,2023,2,417.87,Native 3-Digit ZIP index
